33,Goku,text,Maybe someday you will! The universe is full of surprises.,2024-08-08 09:32:00+00:00,joy,positive,0.999
34,Usain Bolt,text,"Goku, do you ever get scared before a big fight?",2024-08-08 09:33:00+00:00,fear,negative,0.996
35,Goku,text,"Sometimes, but I use that fear to fuel my determination. It's what keeps me going.",2024-08-08 09:34:00+00:00,fear,negative,0.997
36,Usain Bolt,text,I feel the same way before a big race. That adrenaline rush is something else.,2024-08-08 09:35:00+00:00,joy,positive,0.999
37,Goku,text,Exactly! It's what makes us push our limits.,2024-08-08 09:36:00+00:00,joy,positive,0.999
38,Usain Bolt,text,"Do you ever relax, Goku? Or is it all training and fighting?",2024-08-08 09:37:00+00:00,sadness,negative,0.995
39,Goku,text,I do relax! I love spending time with my family and eating good food. 🍜,2024-08-08 09:38:00+00:00,joy,positive,0.999
40,Usain Bolt,text,Same here! Nothing beats a good meal after a hard day's work.,2024-08-08 09:39:00+00:00,joy,positive,0.999
41,Goku,text,Absolutely! Maybe we can share a meal someday.,2024-08-08 09:40:00+00:00,joy,positive,0.999
42,Usain Bolt,text,"I'd love that, Goku! Let's make it happen.",2024-08-08 09:41:00+00:00,joy,positive,0.999
43,Goku,text,"It's a date! Until then, keep being awesome, Usain.",2024-08-08 09:42:00+00:00,joy,positive,0.999
44,Usain Bolt,text,"You too, Goku. Take care! 👋🏻",2024-08-08 09:43:00+00:00,joy,positive,0.999
45,Goku,text,Bye!,2024-08-08 09:44:00+00:00,joy,positive,0.999
45,Goku,audio,,2024-08-08 09:44:00+00:00,joy,positive,0.999
45,Usain Bolt,photo,,2024-08-08 09:44:00+00:00,joy,positive,0.999
45,Usain Bolt,photo,,2024-08-08 09:44:00+00:00,joy,positive,0.999
